time,calanoids,rotifers,nanophytoplankton,picophytoplankton
1544.35,0.90217,0.74913,0,0.9796
1547.7,0.89429,1.11881,0.49478,1.1898
1551.05,0.93177,1.48342,0.4194,0.6436
1554.4,0.94439,0.92653,0.59092,0.40092
1557.75,0.9059,1.39226,0.3603,0.11008
1561.1,0.89766,1.15067,0.39873,0.11574
1564.45,0.8733,0.89405,0.49635,0.65847
1567.8,0.75485,0.37253,0.3569,1.12797
1571.15,0.81781,0.62487,0.35336,1.16451
1574.5,0.8212,0.82179,0.29691,1.18169
1577.85,0.71688,1.00669,0.71839,0.99248
1581.2,0.53037,1.37534,0.51352,0.55845
1584.55,0.35899,1.20664,0.51463,0.38438
1587.9,0.38813,1.02765,0.58687,0.37017
1591.25,0.4305,1.11674,0.52757,0.58232
1594.6,0.42249,1.1466,0.34051,0.6338
1597.95,0.45395,0.87682,0.45392,0.55499
1601.3,0.62852,0.65985,1.03682,0.57395
1604.65,0.84041,0.47184,1.76259,0.62916
1608,0.9837,0.32921,1.90663,0.69211
1611.35,1.25569,0.20527,1.18374,0.65976
1614.7,1.46776,0,0.36224,0.54434
1618.05,1.57909,0,0.19403,1.85798
1621.4,1.62361,0,0.67709,2.8033
1624.75,1.46918,0.14311,1.09434,2.70149
1628.1,1.42447,0.20922,0.68771,2.81871
1631.45,1.35939,0.20438,0.83795,2.47438
1634.8,1.11876,0.05904,0.80512,2.38785
1638.15,1.0133,0.20746,0,0.82795
1641.5,0.82143,0.09455,0,0.67074
1644.85,1.15693,0.26829,0.39818,0.57713
1648.2,0.68441,0.39242,0.74545,0.2972
1651.55,0.33756,0.39726,1.17279,0.58342
1654.9,0.33739,0.31336,0.78984,0.52084
1658.25,0.32019,0.25285,0.6809,0.5821
1661.6,0.29154,0.22428,0.706,0.48875
1664.95,0.36199,0.14109,0.77093,0.49655
1668.3,0.34128,0,0.63311,0.71022
1671.65,0.28268,0.21503,0.20276,0.82466
1675,0.29793,0.20767,0.70502,0.79405
1678.35,0.31317,0,0.74865,0.64426
1681.7,0.32038,0.20796,0.40803,0.49349
1685.05,0.39314,0.32563,0.3439,0.54996
1688.4,0.77727,0.43322,0.41569,0.70477
1691.75,0.98042,0.59239,1.08406,0.70477
1695.1,0.65196,0.8052,1.59852,0.73544
1698.45,0.67017,0.94043,0.69698,0.83434
1701.8,0.62128,1.06236,0.66381,0.68843
1705.15,0.61305,1.07844,0.58864,0.9971
1708.5,0.48524,0.75594,0.39673,0.37594
1711.85,0.56099,0.58319,0.63202,0.65988
1715.2,0.60525,0.9208,0.49231,0.83757
1718.55,0.52965,0.83029,0.49713,0.75349
1721.9,0.50243,0.82741,0.638,0.89473
1725.25,0.56612,1.05432,0.50551,1.38373
1728.6,0.62125,1.00051,0.58244,0.80814
1731.95,0.41283,0.7689,1.6045,0.70477
1735.3,0.4862,0.91034,1.0718,0.82355
1738.65,0.60372,0.7655,0.68023,0.76706
1742,0.64643,0,0.63309,0.88343
1745.35,0.75413,0.22002,0.46295,0.78423
1748.7,0.63596,0.19648,0.56717,0.56312
1752.05,0.24189,0.204,0.59219,0.76911
1755.4,0.21535,0.33084,0.4926,0.83017
1758.75,0.15954,0.40084,0.57001,0.78742
1762.1,0.29921,0.34781,0.60299,1.14773
1765.45,0.3359,0,0.55123,1.38444
1768.8,0.21693,0,0.64685,1.15779
1772.15,0.24672,0,0.57489,1.77001
1775.5,0,0,0.3923,2.5993
1778.85,0,0.1767,0.34586,2.18784
1782.2,0,0.30366,0.47492,2.13046
1785.55,0,0.63895,0.59708,2.27618
1788.9,0,1.13629,0.54011,2.06991
1792.25,0,1.5445,0.09281,1.00356
1795.6,0,2.40059,0.28309,0.36543
1798.95,0,1.90023,0.04831,0.49725
1802.3,0,1.3638,0.31701,0.49734
1805.65,0,1.08696,0.35797,0.52047
1809,0,1.19883,0.2254,0.77574
1812.35,0,1.25411,0,0.75923
1815.7,0,1.36321,0.24662,0.77675
1819.05,0,1.49386,0.26764,0.75359
1822.4,0,1.49778,0.16402,0.55957
1825.75,0,1.50446,0.26793,0.49734
1829.1,0,1.35393,0.24862,0.67627
1832.45,0,0.80409,0.26411,0.74899
1835.8,0,0.22803,0.37347,1.14243
1839.15,0,0,0.42735,1.63834
1842.5,0,0.19585,0.44975,1.76938
1845.85,0,0.26037,0.4552,1.79985
1849.2,0,0.28925,0.49163,2.01202
1852.55,0,0.73724,0.536,2.09312
1855.9,0,1.47308,0.64574,1.92651
1859.25,0.11937,1.66754,0.2993,0.4484
1862.6,0.31549,1.88616,0.27664,0.60826
1865.95,0.21792,1.66688,0.04005,1.41226
1869.3,0.10264,1.27666,0,1.90207
1872.65,0.28689,0.91162,0,1.53476
1876,0.19571,0.66473,0,1.85939
1879.35,0.08318,0.76912,0,1.83746
1882.7,0,1.2994,0,1.73298
1886.05,0,1.131,0,1.52953
1889.4,0,1.01036,0,1.42016
1892.75,0,1.12885,0.16153,1.59345
1896.1,0,0.96944,0.11763,1.13845
1899.45,0,0.90858,0.37327,0.47862
1902.8,0,0.8745,0.4061,0.95047
1906.15,0,0.81964,0.39284,1.16924
1909.5,0,0.78925,0.38541,1.27112
1912.85,0,0.88568,0.53012,2.07739
1916.2,0,1.11754,0.43981,2.12609
1919.55,0,1.1542,0.25943,1.71641
1922.9,0,1.09246,0.14157,0.8885
1926.25,0,0.1956,0.29599,0.71029
1929.6,0,0.52186,0.43124,0.71576
1932.95,0,0.50707,0.443,0.88572
1936.3,0,0.47665,0.46646,1.05756
1939.65,0,0.41383,0.59242,1.21845
1943,0,0.37986,0.26626,1.26232
1946.35,0,0.4788,0.35546,1.31585
1949.7,0,0.5582,0.52903,1.31585
1953.05,0,0.61661,0,0.38792
1956.4,0,0.4504,0,0.44335
1959.75,0,0.13032,0,0.46097
1963.1,0,0.23858,0,1.21513
1966.45,0,0.1347,0,2.2714
1969.8,0,0,0,2.4753
1973.15,0,0,0,2.57663
1976.5,0,0.15228,0,2.75733
1979.85,0,0.20907,0,2.84706
1983.2,0,0.31802,0,2.77397
